Hash Function,Elapsed Time (seconds)
AbseilHash,0.000066
AbseilHash,0.000038
AbseilHash,0.000038
AbseilHash,0.000038
AbseilHash,0.000038
AbseilHash,0.000038
AbseilHash,0.000038
AbseilHash,0.000038
AbseilHash,0.000038
AbseilHash,0.000038
STDHashSrc,0.000089
STDHashSrc,0.000082
STDHashSrc,0.000082
STDHashSrc,0.000082
STDHashSrc,0.000082
STDHashSrc,0.000082
STDHashSrc,0.000094
STDHashSrc,0.000082
STDHashSrc,0.000094
STDHashSrc,0.000094
FNVHash,0.000094
FNVHash,0.000094
FNVHash,0.000094
FNVHash,0.000094
FNVHash,0.000094
FNVHash,0.000094
FNVHash,0.000094
FNVHash,0.000094
FNVHash,0.000094
FNVHash,0.000094
CityHash,0.000038
CityHash,0.000038
CityHash,0.000038
CityHash,0.000038
CityHash,0.000038
CityHash,0.000038
CityHash,0.000038
CityHash,0.000047
CityHash,0.000038
CityHash,0.000038
PextCPF,0.000020
PextCPF,0.000020
PextCPF,0.000020
PextCPF,0.000020
PextCPF,0.000020
PextCPF,0.000020
PextCPF,0.000020
PextCPF,0.000020
PextCPF,0.000020
PextCPF,0.000026
OffXorCPF,0.000039
OffXorCPF,0.000022
OffXorCPF,0.000022
OffXorCPF,0.000022
OffXorCPF,0.000022
OffXorCPF,0.000022
OffXorCPF,0.000028
OffXorCPF,0.000030
OffXorCPF,0.000022
OffXorCPF,0.000022
NaiveCPF,0.000024
NaiveCPF,0.000022
NaiveCPF,0.000022
NaiveCPF,0.000022
NaiveCPF,0.000022
NaiveCPF,0.000022
NaiveCPF,0.000022
NaiveCPF,0.000022
NaiveCPF,0.000022
NaiveCPF,0.000022
AesCPF,0.000082
AesCPF,0.000082
AesCPF,0.000082
AesCPF,0.000082
AesCPF,0.000082
AesCPF,0.000082
AesCPF,0.000082
AesCPF,0.000082
AesCPF,0.000090
AesCPF,0.000087
GptCPF,0.000047
GptCPF,0.000047
GptCPF,0.000047
GptCPF,0.000047
GptCPF,0.000047
GptCPF,0.000047
GptCPF,0.000047
GptCPF,0.000047
GptCPF,0.000047
GptCPF,0.000047
GperfCPF,0.000024
GperfCPF,0.000024
GperfCPF,0.000024
GperfCPF,0.000024
GperfCPF,0.000024
GperfCPF,0.000024
GperfCPF,0.000024
GperfCPF,0.000024
GperfCPF,0.000024
GperfCPF,0.000024
