Hash Function,Elapsed Time (seconds)
AbseilHash,0.000514
AbseilHash,0.000511
AbseilHash,0.000511
AbseilHash,0.000541
AbseilHash,0.000606
AbseilHash,0.000615
AbseilHash,0.000511
AbseilHash,0.000511
AbseilHash,0.000511
AbseilHash,0.000511
STDHashSrc,0.000033
STDHashSrc,0.000033
STDHashSrc,0.000033
STDHashSrc,0.000033
STDHashSrc,0.000033
STDHashSrc,0.000033
STDHashSrc,0.000033
STDHashSrc,0.000033
STDHashSrc,0.000033
STDHashSrc,0.000033
FNVHash,0.000215
FNVHash,0.000254
FNVHash,0.000255
FNVHash,0.000255
FNVHash,0.000255
FNVHash,0.000255
FNVHash,0.000233
FNVHash,0.000215
FNVHash,0.000215
FNVHash,0.000215
CityHash,0.000032
CityHash,0.000032
CityHash,0.000032
CityHash,0.000032
CityHash,0.000032
CityHash,0.000032
CityHash,0.000032
CityHash,0.000032
CityHash,0.000032
CityHash,0.000032
PextINTS,0.000013
PextINTS,0.000013
PextINTS,0.000013
PextINTS,0.000013
PextINTS,0.000013
PextINTS,0.000013
PextINTS,0.000013
PextINTS,0.000013
PextINTS,0.000013
PextINTS,0.000013
OffXorINTS,0.000009
OffXorINTS,0.000009
OffXorINTS,0.000009
OffXorINTS,0.000009
OffXorINTS,0.000009
OffXorINTS,0.000009
OffXorINTS,0.000009
OffXorINTS,0.000009
OffXorINTS,0.000009
OffXorINTS,0.000009
NaiveINTS,0.000009
NaiveINTS,0.000009
NaiveINTS,0.000009
NaiveINTS,0.000009
NaiveINTS,0.000009
NaiveINTS,0.000009
NaiveINTS,0.000009
NaiveINTS,0.000009
NaiveINTS,0.000009
NaiveINTS,0.000009
AesINTS,0.000007
AesINTS,0.000007
AesINTS,0.000007
AesINTS,0.000007
AesINTS,0.000007
AesINTS,0.000007
AesINTS,0.000007
AesINTS,0.000007
AesINTS,0.000007
AesINTS,0.000007
GptINTS,0.000062
GptINTS,0.000060
GptINTS,0.000060
GptINTS,0.000060
GptINTS,0.000061
GptINTS,0.000061
GptINTS,0.000060
GptINTS,0.000061
GptINTS,0.000060
GptINTS,0.000060
GperfINTS,0.000007
GperfINTS,0.000007
GperfINTS,0.000007
GperfINTS,0.000007
GperfINTS,0.000007
GperfINTS,0.000007
GperfINTS,0.000007
GperfINTS,0.000007
GperfINTS,0.000007
GperfINTS,0.000007
