Hash Function,Elapsed Time (seconds)
AbseilHash,0.001087
AbseilHash,0.000969
AbseilHash,0.000967
AbseilHash,0.001099
AbseilHash,0.001049
AbseilHash,0.000966
AbseilHash,0.000966
AbseilHash,0.001123
AbseilHash,0.001032
AbseilHash,0.000966
STDHashSrc,0.000057
STDHashSrc,0.000057
STDHashSrc,0.000057
STDHashSrc,0.000057
STDHashSrc,0.000057
STDHashSrc,0.000057
STDHashSrc,0.000057
STDHashSrc,0.000057
STDHashSrc,0.000057
STDHashSrc,0.000057
FNVHash,0.000115
FNVHash,0.000115
FNVHash,0.000114
FNVHash,0.000115
FNVHash,0.000114
FNVHash,0.000153
FNVHash,0.000136
FNVHash,0.000136
FNVHash,0.000136
FNVHash,0.000136
CityHash,0.000049
CityHash,0.000048
CityHash,0.000048
CityHash,0.000048
CityHash,0.000049
CityHash,0.000048
CityHash,0.000048
CityHash,0.000048
CityHash,0.000048
CityHash,0.000048
PextMac,0.000036
PextMac,0.000021
PextMac,0.000021
PextMac,0.000021
PextMac,0.000021
PextMac,0.000021
PextMac,0.000021
PextMac,0.000021
PextMac,0.000021
PextMac,0.000021
OffXorMac,0.000020
OffXorMac,0.000019
OffXorMac,0.000019
OffXorMac,0.000019
OffXorMac,0.000019
OffXorMac,0.000019
OffXorMac,0.000019
OffXorMac,0.000019
OffXorMac,0.000019
OffXorMac,0.000019
NaiveMac,0.000020
NaiveMac,0.000020
NaiveMac,0.000020
NaiveMac,0.000020
NaiveMac,0.000020
NaiveMac,0.000020
NaiveMac,0.000020
NaiveMac,0.000020
NaiveMac,0.000020
NaiveMac,0.000020
AesMac,0.000022
AesMac,0.000022
AesMac,0.000022
AesMac,0.000022
AesMac,0.000022
AesMac,0.000022
AesMac,0.000022
AesMac,0.000022
AesMac,0.000022
AesMac,0.000022
GptMac,0.000109
GptMac,0.000109
GptMac,0.000108
GptMac,0.000108
GptMac,0.000109
GptMac,0.000109
GptMac,0.000108
GptMac,0.000108
GptMac,0.000108
GptMac,0.000108
GperfMac,0.000026
GperfMac,0.000025
GperfMac,0.000025
GperfMac,0.000025
GperfMac,0.000025
GperfMac,0.000025
GperfMac,0.000025
GperfMac,0.000025
GperfMac,0.000025
GperfMac,0.000025
