Hash Function,Elapsed Time (seconds)
AbseilHash,0.000445
AbseilHash,0.000485
AbseilHash,0.000523
AbseilHash,0.000547
AbseilHash,0.000441
AbseilHash,0.000441
AbseilHash,0.000441
AbseilHash,0.000441
AbseilHash,0.000440
AbseilHash,0.000441
STDHashSrc,0.000029
STDHashSrc,0.000028
STDHashSrc,0.000028
STDHashSrc,0.000031
STDHashSrc,0.000047
STDHashSrc,0.000034
STDHashSrc,0.000033
STDHashSrc,0.000033
STDHashSrc,0.000033
STDHashSrc,0.000033
FNVHash,0.000204
FNVHash,0.000202
FNVHash,0.000197
FNVHash,0.000204
FNVHash,0.000217
FNVHash,0.000165
FNVHash,0.000165
FNVHash,0.000167
FNVHash,0.000166
FNVHash,0.000165
CityHash,0.000032
CityHash,0.000032
CityHash,0.000032
CityHash,0.000032
CityHash,0.000032
CityHash,0.000032
CityHash,0.000032
CityHash,0.000032
CityHash,0.000032
CityHash,0.000032
PextUrlComplex,0.000007
PextUrlComplex,0.000007
PextUrlComplex,0.000007
PextUrlComplex,0.000007
PextUrlComplex,0.000007
PextUrlComplex,0.000007
PextUrlComplex,0.000007
PextUrlComplex,0.000007
PextUrlComplex,0.000007
PextUrlComplex,0.000007
OffXorUrlComplex,0.000007
OffXorUrlComplex,0.000007
OffXorUrlComplex,0.000007
OffXorUrlComplex,0.000007
OffXorUrlComplex,0.000007
OffXorUrlComplex,0.000007
OffXorUrlComplex,0.000007
OffXorUrlComplex,0.000007
OffXorUrlComplex,0.000007
OffXorUrlComplex,0.000007
NaiveUrlComplex,0.000008
NaiveUrlComplex,0.000008
NaiveUrlComplex,0.000008
NaiveUrlComplex,0.000008
NaiveUrlComplex,0.000008
NaiveUrlComplex,0.000008
NaiveUrlComplex,0.000008
NaiveUrlComplex,0.000008
NaiveUrlComplex,0.000008
NaiveUrlComplex,0.000008
AesUrlComplex,0.000005
AesUrlComplex,0.000005
AesUrlComplex,0.000005
AesUrlComplex,0.000005
AesUrlComplex,0.000005
AesUrlComplex,0.000005
AesUrlComplex,0.000005
AesUrlComplex,0.000005
AesUrlComplex,0.000005
AesUrlComplex,0.000005
GptUrlComplex,0.000012
GptUrlComplex,0.000012
GptUrlComplex,0.000012
GptUrlComplex,0.000012
GptUrlComplex,0.000012
GptUrlComplex,0.000012
GptUrlComplex,0.000012
GptUrlComplex,0.000012
GptUrlComplex,0.000012
GptUrlComplex,0.000012
GperfUrlComplex,0.000007
GperfUrlComplex,0.000006
GperfUrlComplex,0.000006
GperfUrlComplex,0.000006
GperfUrlComplex,0.000006
GperfUrlComplex,0.000006
GperfUrlComplex,0.000006
GperfUrlComplex,0.000006
GperfUrlComplex,0.000006
GperfUrlComplex,0.000006
