Hash Function,Elapsed Time (seconds)
AbseilHash,0.000098
AbseilHash,0.000096
AbseilHash,0.000096
AbseilHash,0.000096
AbseilHash,0.000127
AbseilHash,0.000114
AbseilHash,0.000114
AbseilHash,0.000114
AbseilHash,0.000114
AbseilHash,0.000114
STDHashSrc,0.000009
STDHashSrc,0.000008
STDHashSrc,0.000008
STDHashSrc,0.000010
STDHashSrc,0.000008
STDHashSrc,0.000008
STDHashSrc,0.000008
STDHashSrc,0.000008
STDHashSrc,0.000009
STDHashSrc,0.000010
FNVHash,0.000038
FNVHash,0.000037
FNVHash,0.000037
FNVHash,0.000038
FNVHash,0.000037
FNVHash,0.000037
FNVHash,0.000037
FNVHash,0.000037
FNVHash,0.000038
FNVHash,0.000037
CityHash,0.000010
CityHash,0.000009
CityHash,0.000010
CityHash,0.000009
CityHash,0.000009
CityHash,0.000009
CityHash,0.000022
CityHash,0.000009
CityHash,0.000019
CityHash,0.000008
PextUrl,0.000001
PextUrl,0.000001
PextUrl,0.000001
PextUrl,0.000001
PextUrl,0.000001
PextUrl,0.000001
PextUrl,0.000001
PextUrl,0.000001
PextUrl,0.000001
PextUrl,0.000001
OffXorUrl,0.000001
OffXorUrl,0.000001
OffXorUrl,0.000001
OffXorUrl,0.000001
OffXorUrl,0.000001
OffXorUrl,0.000001
OffXorUrl,0.000001
OffXorUrl,0.000001
OffXorUrl,0.000001
OffXorUrl,0.000001
NaiveUrl,0.000002
NaiveUrl,0.000002
NaiveUrl,0.000002
NaiveUrl,0.000002
NaiveUrl,0.000002
NaiveUrl,0.000002
NaiveUrl,0.000002
NaiveUrl,0.000002
NaiveUrl,0.000002
NaiveUrl,0.000002
AesUrl,0.000001
AesUrl,0.000001
AesUrl,0.000001
AesUrl,0.000001
AesUrl,0.000001
AesUrl,0.000001
AesUrl,0.000001
AesUrl,0.000002
AesUrl,0.000001
AesUrl,0.000001
GptUrl,0.000010
GptUrl,0.000010
GptUrl,0.000010
GptUrl,0.000010
GptUrl,0.000010
GptUrl,0.000010
GptUrl,0.000010
GptUrl,0.000010
GptUrl,0.000010
GptUrl,0.000010
GperfUrl,0.000002
GperfUrl,0.000002
GperfUrl,0.000002
GperfUrl,0.000002
GperfUrl,0.000002
GperfUrl,0.000002
GperfUrl,0.000002
GperfUrl,0.000002
GperfUrl,0.000002
GperfUrl,0.000002
