Execution Mode,Key Distribution,Num Operations,Num Keys,Insertions (%),Searches (%),Eliminatons(%),Hash Container,Hash Function,Execution Time (s),Collision Count
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,AbseilHash,0.002218,13
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,AbseilHash,0.002557,190
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,AbseilHash,0.002227,13
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,AbseilHash,0.002542,190
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,STDHashSrc,0.002258,14
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,STDHashSrc,0.002706,189
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,STDHashSrc,0.002265,14
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,STDHashSrc,0.002647,189
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,FNVHash,0.002219,8
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,FNVHash,0.002692,189
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,FNVHash,0.002306,8
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,FNVHash,0.002563,189
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,CityHash,0.002119,11
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,CityHash,0.002552,192
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,CityHash,0.002120,11
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,CityHash,0.002497,192
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,PextCPF,0.002056,14
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,PextCPF,0.002499,190
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,PextCPF,0.002040,14
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,PextCPF,0.002475,190
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,OffXorCPF,0.002047,14
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,OffXorCPF,0.002465,189
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,OffXorCPF,0.002044,14
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,OffXorCPF,0.002450,189
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,NaiveCPF,0.002046,14
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,NaiveCPF,0.002480,189
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,NaiveCPF,0.002037,14
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,NaiveCPF,0.002455,189
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,AesCPF,0.002092,11
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,AesCPF,0.002570,190
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,AesCPF,0.002096,11
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,AesCPF,0.002492,190
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,GptCPF,0.002075,8
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,GptCPF,0.002511,189
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,GptCPF,0.002070,8
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,GptCPF,0.002498,189
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,GperfCPF,0.002054,7
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,GperfCPF,0.002470,189
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,GperfCPF,0.002043,7
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,GperfCPF,0.002457,189
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,AbseilHash,0.002068,13
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,AbseilHash,0.002360,190
