Execution Mode,Key Distribution,Num Operations,Num Keys,Insertions (%),Searches (%),Eliminatons(%),Hash Container,Hash Function,Execution Time (s),Collision Count
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,AbseilHash,0.004930,19
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,AbseilHash,0.005501,99
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,AbseilHash,0.004995,19
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,AbseilHash,0.005205,99
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,STDHashSrc,0.002547,18
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,STDHashSrc,0.002678,99
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,STDHashSrc,0.002467,18
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,STDHashSrc,0.002832,99
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,FNVHash,0.003528,13
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,FNVHash,0.003756,99
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,FNVHash,0.003433,13
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,FNVHash,0.003730,99
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,CityHash,0.002491,14
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,CityHash,0.002831,102
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,CityHash,0.002319,14
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,CityHash,0.002824,102
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,PextINTS,0.002387,20
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,PextINTS,0.002510,99
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,PextINTS,0.002410,20
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,PextINTS,0.002578,99
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,OffXorINTS,0.002396,57
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,OffXorINTS,0.002672,100
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,OffXorINTS,0.002302,57
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,OffXorINTS,0.002656,100
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,NaiveINTS,0.002417,57
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,NaiveINTS,0.002482,100
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,NaiveINTS,0.002431,57
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,NaiveINTS,0.002527,100
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,AesINTS,0.002248,20
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,AesINTS,0.002537,101
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,AesINTS,0.002169,20
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,AesINTS,0.002537,101
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,GptINTS,0.002492,14
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,GptINTS,0.002755,100
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,GptINTS,0.002433,14
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,GptINTS,0.002724,100
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,GperfINTS,0.002138,19
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,GperfINTS,0.002434,100
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,GperfINTS,0.002133,19
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,GperfINTS,0.002422,100
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,AbseilHash,0.004676,19
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,AbseilHash,0.004933,99
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,AbseilHash,0.004676,19
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,AbseilHash,0.004930,99
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,STDHashSrc,0.002272,18
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,STDHashSrc,0.002525,99
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,STDHashSrc,0.002259,18
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,STDHashSrc,0.002515,99
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,FNVHash,0.003248,13
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,FNVHash,0.003510,99
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,FNVHash,0.003241,13
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,FNVHash,0.003487,99
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,CityHash,0.002261,14
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,CityHash,0.002533,102
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,CityHash,0.002254,14
