Execution Mode,Key Distribution,Num Operations,Num Keys,Insertions (%),Searches (%),Eliminatons(%),Hash Container,Hash Function,Execution Time (s),Collision Count
Interweaved,normal,10000,2000,70,20,10,UnorderedMapBench,AbseilHash,0.003416,29
Interweaved,normal,10000,2000,70,20,10,UnorderedMultiMapBench,AbseilHash,0.004333,724
Interweaved,normal,10000,2000,70,20,10,UnorderedSetBench,AbseilHash,0.003464,29
Interweaved,normal,10000,2000,70,20,10,UnorderedMultisetBench,AbseilHash,0.004115,724
Interweaved,normal,10000,2000,70,20,10,UnorderedMapBench,STDHashSrc,0.002315,21
Interweaved,normal,10000,2000,70,20,10,UnorderedMultiMapBench,STDHashSrc,0.002874,721
Interweaved,normal,10000,2000,70,20,10,UnorderedSetBench,STDHashSrc,0.002116,21
Interweaved,normal,10000,2000,70,20,10,UnorderedMultisetBench,STDHashSrc,0.002890,721
Interweaved,normal,10000,2000,70,20,10,UnorderedMapBench,FNVHash,0.002585,30
Interweaved,normal,10000,2000,70,20,10,UnorderedMultiMapBench,FNVHash,0.002963,722
Interweaved,normal,10000,2000,70,20,10,UnorderedSetBench,FNVHash,0.002629,30
Interweaved,normal,10000,2000,70,20,10,UnorderedMultisetBench,FNVHash,0.003113,722
Interweaved,normal,10000,2000,70,20,10,UnorderedMapBench,CityHash,0.002112,31
Interweaved,normal,10000,2000,70,20,10,UnorderedMultiMapBench,CityHash,0.002854,721
Interweaved,normal,10000,2000,70,20,10,UnorderedSetBench,CityHash,0.002223,31
Interweaved,normal,10000,2000,70,20,10,UnorderedMultisetBench,CityHash,0.002607,721
Interweaved,normal,10000,2000,70,20,10,UnorderedMapBench,PextIPV6,0.002149,26
Interweaved,normal,10000,2000,70,20,10,UnorderedMultiMapBench,PextIPV6,0.002657,724
Interweaved,normal,10000,2000,70,20,10,UnorderedSetBench,PextIPV6,0.002075,26
Interweaved,normal,10000,2000,70,20,10,UnorderedMultisetBench,PextIPV6,0.002646,724
Interweaved,normal,10000,2000,70,20,10,UnorderedMapBench,OffXorIPV6,0.002009,26
Interweaved,normal,10000,2000,70,20,10,UnorderedMultiMapBench,OffXorIPV6,0.002650,722
Interweaved,normal,10000,2000,70,20,10,UnorderedSetBench,OffXorIPV6,0.001997,26
Interweaved,normal,10000,2000,70,20,10,UnorderedMultisetBench,OffXorIPV6,0.002671,722
Interweaved,normal,10000,2000,70,20,10,UnorderedMapBench,NaiveIPV6,0.002062,22
Interweaved,normal,10000,2000,70,20,10,UnorderedMultiMapBench,NaiveIPV6,0.002597,722
Interweaved,normal,10000,2000,70,20,10,UnorderedSetBench,NaiveIPV6,0.002081,22
Interweaved,normal,10000,2000,70,20,10,UnorderedMultisetBench,NaiveIPV6,0.002576,722
Interweaved,normal,10000,2000,70,20,10,UnorderedMapBench,AesIPV6,0.002146,22
Interweaved,normal,10000,2000,70,20,10,UnorderedMultiMapBench,AesIPV6,0.002635,725
Interweaved,normal,10000,2000,70,20,10,UnorderedSetBench,AesIPV6,0.002016,22
Interweaved,normal,10000,2000,70,20,10,UnorderedMultisetBench,AesIPV6,0.002640,725
Interweaved,normal,10000,2000,70,20,10,UnorderedMapBench,GptIPV6,0.002111,21
Interweaved,normal,10000,2000,70,20,10,UnorderedMultiMapBench,GptIPV6,0.002734,723
Interweaved,normal,10000,2000,70,20,10,UnorderedSetBench,GptIPV6,0.002199,21
Interweaved,normal,10000,2000,70,20,10,UnorderedMultisetBench,GptIPV6,0.002698,723
Interweaved,normal,10000,2000,70,20,10,UnorderedMapBench,GperfIPV6,0.002135,28
Interweaved,normal,10000,2000,70,20,10,UnorderedMultiMapBench,GperfIPV6,0.002634,726
Interweaved,normal,10000,2000,70,20,10,UnorderedSetBench,GperfIPV6,0.002099,28
Interweaved,normal,10000,2000,70,20,10,UnorderedMultisetBench,GperfIPV6,0.002688,726
Interweaved,normal,10000,2000,70,20,10,UnorderedMapBench,AbseilHash,0.003332,29
Interweaved,normal,10000,2000,70,20,10,UnorderedMultiMapBench,AbseilHash,0.003838,724
Interweaved,normal,10000,2000,70,20,10,UnorderedSetBench,AbseilHash,0.003264,29
Interweaved,normal,10000,2000,70,20,10,UnorderedMultisetBench,AbseilHash,0.003732,724
Interweaved,normal,10000,2000,70,20,10,UnorderedMapBench,STDHashSrc,0.002065,21
Interweaved,normal,10000,2000,70,20,10,UnorderedMultiMapBench,STDHashSrc,0.002518,721
Interweaved,normal,10000,2000,70,20,10,UnorderedSetBench,STDHashSrc,0.002036,21
Interweaved,normal,10000,2000,70,20,10,UnorderedMultisetBench,STDHashSrc,0.002502,721
Interweaved,normal,10000,2000,70,20,10,UnorderedMapBench,FNVHash,0.002343,30
Interweaved,normal,10000,2000,70,20,10,UnorderedMultiMapBench,FNVHash,0.002752,722
Interweaved,normal,10000,2000,70,20,10,UnorderedSetBench,FNVHash,0.002336,30
Interweaved,normal,10000,2000,70,20,10,UnorderedMultisetBench,FNVHash,0.002734,722
Interweaved,normal,10000,2000,70,20,10,UnorderedMapBench,CityHash,0.002041,31
Interweaved,normal,10000,2000,70,20,10,UnorderedMultiMapBench,CityHash,0.002460,721
Interweaved,normal,10000,2000,70,20,10,UnorderedSetBench,CityHash,0.002027,31
Interweaved,normal,10000,2000,70,20,10,UnorderedMultisetBench,CityHash,0.002422,721
Interweaved,normal,10000,2000,70,20,10,UnorderedMapBench,PextIPV6,0.001966,26
Interweaved,normal,10000,2000,70,20,10,UnorderedMultiMapBench,PextIPV6,0.002403,724
Interweaved,normal,10000,2000,70,20,10,UnorderedSetBench,PextIPV6,0.001949,26
Interweaved,normal,10000,2000,70,20,10,UnorderedMultisetBench,PextIPV6,0.002390,724
Interweaved,normal,10000,2000,70,20,10,UnorderedMapBench,OffXorIPV6,0.001934,26
