Execution Mode,Key Distribution,Num Operations,Num Keys,Insertions (%),Searches (%),Eliminatons(%),Hash Container,Hash Function,Execution Time (s),Collision Count
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,AbseilHash,0.003255,21
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,AbseilHash,0.003572,214
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,AbseilHash,0.003251,21
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,AbseilHash,0.003543,214
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,STDHashSrc,0.002128,22
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,STDHashSrc,0.002607,214
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,STDHashSrc,0.002204,22
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,STDHashSrc,0.002524,214
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,FNVHash,0.002427,26
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,FNVHash,0.002492,216
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,FNVHash,0.002427,26
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,FNVHash,0.002655,216
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,CityHash,0.002132,24
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,CityHash,0.002610,217
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,CityHash,0.002081,24
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,CityHash,0.002593,217
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,PextMac,0.002174,22
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,PextMac,0.002413,217
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,PextMac,0.002264,22
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,PextMac,0.002331,217
