Execution Mode,Key Distribution,Num Operations,Num Keys,Insertions (%),Searches (%),Eliminatons(%),Hash Container,Hash Function,Execution Time (s),Collision Count
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,AbseilHash,0.004204,29
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,AbseilHash,0.004553,219
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,AbseilHash,0.004179,29
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,AbseilHash,0.004468,219
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,STDHashSrc,0.002392,28
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,STDHashSrc,0.002621,214
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,STDHashSrc,0.002293,28
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,STDHashSrc,0.002679,214
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,FNVHash,0.003004,18
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,FNVHash,0.003236,215
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,FNVHash,0.003046,18
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,FNVHash,0.003313,215
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,CityHash,0.002418,25
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,CityHash,0.002622,220
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,CityHash,0.002453,25
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,CityHash,0.002663,220
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,PextUrl,0.002204,27
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,PextUrl,0.002558,214
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,PextUrl,0.002128,27
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,PextUrl,0.002555,214
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,OffXorUrl,0.002173,29
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,OffXorUrl,0.002490,214
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,OffXorUrl,0.002238,29
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,OffXorUrl,0.002418,214
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,NaiveUrl,0.002282,19
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,NaiveUrl,0.002463,221
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,NaiveUrl,0.002207,19
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,NaiveUrl,0.002540,221
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,AesUrl,0.002154,30
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,AesUrl,0.002506,216
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,AesUrl,0.002105,30
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,AesUrl,0.002385,216
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,GptUrl,0.002312,24
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,GptUrl,0.002600,216
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,GptUrl,0.002298,24
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,GptUrl,0.002594,216
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,GperfUrl,0.002145,34
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,GperfUrl,0.002402,220
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,GperfUrl,0.002138,34
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,GperfUrl,0.002427,220
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,AbseilHash,0.004045,29
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,AbseilHash,0.004279,219
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,AbseilHash,0.004013,29
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,AbseilHash,0.004252,219
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,STDHashSrc,0.002224,28
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,STDHashSrc,0.002466,214
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,STDHashSrc,0.002212,28
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,STDHashSrc,0.002462,214
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,FNVHash,0.002888,18
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,FNVHash,0.003095,215
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,FNVHash,0.002881,18
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,FNVHash,0.003084,215
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,CityHash,0.002259,25
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,CityHash,0.002495,220
