Hash Function 1,Hash Function 2,p-value,Same Distribution?
Abseil,Aes,0.0,False
Abseil,City,0.0,False
Abseil,FNV,5.246896938335679e-185,False
Abseil,Gperf,5.255222755338382e-240,False
Abseil,Gpt,0.0,False
Abseil,Naive,0.0,False
Abseil,OffXor,0.0,False
Abseil,Pext,0.0,False
Abseil,STL,0.0,False
Aes,Abseil,0.0,False
Aes,City,1.9219242700852595e-63,False
Aes,FNV,0.0,False
Aes,Gperf,6.992515752334456e-43,False
Aes,Gpt,5.674252082232895e-123,False
Aes,Naive,0.8123328950618107,True
Aes,OffXor,0.5221025019735877,True
Aes,Pext,0.04995045676938231,False
Aes,STL,1.2671900168051888e-101,False
City,Abseil,0.0,False
City,Aes,1.9219242700852595e-63,False
City,FNV,0.0,False
City,Gperf,0.6555515214462584,True
City,Gpt,6.0049559821923726e-12,False
City,Naive,7.435729397798981e-62,False
City,OffXor,5.5938214844168074e-67,False
City,Pext,7.345709063297321e-75,False
City,STL,5.413659090192041e-05,False
FNV,Abseil,5.246896938335679e-185,False
FNV,Aes,0.0,False
FNV,City,0.0,False
FNV,Gperf,8.06098853847077e-188,False
FNV,Gpt,6.990702441952402e-246,False
FNV,Naive,0.0,False
FNV,OffXor,0.0,False
FNV,Pext,0.0,False
FNV,STL,2.560178264012743e-277,False
Gperf,Abseil,5.255222755338382e-240,False
Gperf,Aes,6.992515752334456e-43,False
Gperf,City,0.6555515214462584,True
Gperf,FNV,8.06098853847077e-188,False
Gperf,Gpt,5.6053417373419e-10,False
Gperf,Naive,2.3100306198354046e-42,False
Gperf,OffXor,1.6521795563704284e-47,False
Gperf,Pext,2.9062545447538115e-52,False
Gperf,STL,3.292622544430593e-05,False
Gpt,Abseil,0.0,False
Gpt,Aes,5.674252082232895e-123,False
Gpt,City,6.0049559821923726e-12,False
Gpt,FNV,6.990702441952402e-246,False
Gpt,Gperf,5.6053417373419e-10,False
Gpt,Naive,3.108838470282193e-120,False
Gpt,OffXor,2.020660705215001e-128,False
Gpt,Pext,1.2205301694201307e-133,False
Gpt,STL,0.0037061561027236824,False
Naive,Abseil,0.0,False
Naive,Aes,0.8123328950618107,True
Naive,City,7.435729397798981e-62,False
Naive,FNV,0.0,False
Naive,Gperf,2.3100306198354046e-42,False
Naive,Gpt,3.108838470282193e-120,False
Naive,OffXor,0.3090778945600877,True
Naive,Pext,0.04153857856871637,False
Naive,STL,6.610278364590064e-97,False
OffXor,Abseil,0.0,False
OffXor,Aes,0.5221025019735877,True
OffXor,City,5.5938214844168074e-67,False
OffXor,FNV,0.0,False
OffXor,Gperf,1.6521795563704284e-47,False
OffXor,Gpt,2.020660705215001e-128,False
OffXor,Naive,0.3090778945600877,True
OffXor,Pext,0.2662411991624387,True
OffXor,STL,5.3402848366782475e-104,False
Pext,Abseil,0.0,False
Pext,Aes,0.04995045676938231,False
Pext,City,7.345709063297321e-75,False
Pext,FNV,0.0,False
Pext,Gperf,2.9062545447538115e-52,False
Pext,Gpt,1.2205301694201307e-133,False
Pext,Naive,0.04153857856871637,False
Pext,OffXor,0.2662411991624387,True
Pext,STL,8.182843421794647e-113,False
STL,Abseil,0.0,False
STL,Aes,1.2671900168051888e-101,False
STL,City,5.413659090192041e-05,False
STL,FNV,2.560178264012743e-277,False
STL,Gperf,3.292622544430593e-05,False
STL,Gpt,0.0037061561027236824,False
STL,Naive,6.610278364590064e-97,False
STL,OffXor,5.3402848366782475e-104,False
STL,Pext,8.182843421794647e-113,False
