Hash Function 1,Hash Function 2,p-value,Same Distribution?
Abseil,Aes,0.0,False
Abseil,City,0.0,False
Abseil,FNV,1.515004271141048e-202,False
Abseil,Gperf,0.0,False
Abseil,Gpt,3.6231237762045614e-206,False
Abseil,Naive,0.0,False
Abseil,OffXor,0.0,False
Abseil,Pext,0.0,False
Abseil,STL,0.0,False
Aes,Abseil,0.0,False
Aes,City,0.05112310406496211,True
Aes,FNV,2.6680038738190025e-202,False
Aes,Gperf,0.0,False
Aes,Gpt,4.391820789125395e-19,False
Aes,Naive,3.3590409187423595e-09,False
Aes,OffXor,8.589582952334338e-17,False
Aes,Pext,2.511679971767498e-61,False
Aes,STL,1.7477368647515666e-07,False
City,Abseil,0.0,False
City,Aes,0.05112310406496211,True
City,FNV,1.4030328474252078e-274,False
City,Gperf,0.0,False
City,Gpt,9.270360806946764e-15,False
City,Naive,2.776112674169479e-20,False
City,OffXor,1.236185962928919e-34,False
City,Pext,5.03974362180444e-90,False
City,STL,0.0007761399150412067,False
FNV,Abseil,1.515004271141048e-202,False
FNV,Aes,2.6680038738190025e-202,False
FNV,City,1.4030328474252078e-274,False
FNV,Gperf,0.0,False
FNV,Gpt,5.301343284952743e-107,False
FNV,Naive,0.0,False
FNV,OffXor,0.0,False
FNV,Pext,0.0,False
FNV,STL,5.117858490840066e-240,False
Gperf,Abseil,0.0,False
Gperf,Aes,0.0,False
Gperf,City,0.0,False
Gperf,FNV,0.0,False
Gperf,Gpt,0.0,False
Gperf,Naive,0.0,False
Gperf,OffXor,0.0,False
Gperf,Pext,0.0,False
Gperf,STL,0.0,False
Gpt,Abseil,3.6231237762045614e-206,False
Gpt,Aes,4.391820789125395e-19,False
Gpt,City,9.270360806946764e-15,False
Gpt,FNV,5.301343284952743e-107,False
Gpt,Gperf,0.0,False
Gpt,Naive,6.411736918900709e-57,False
Gpt,OffXor,2.1568243139835056e-77,False
Gpt,Pext,4.8661811580162895e-145,False
Gpt,STL,1.6444149633248749e-06,False
Naive,Abseil,0.0,False
Naive,Aes,3.3590409187423595e-09,False
Naive,City,2.776112674169479e-20,False
Naive,FNV,0.0,False
Naive,Gperf,0.0,False
Naive,Gpt,6.411736918900709e-57,False
Naive,OffXor,0.0030754822117808975,False
Naive,Pext,6.8207396145625955e-31,False
Naive,STL,1.187299080591881e-36,False
OffXor,Abseil,0.0,False
OffXor,Aes,8.589582952334338e-17,False
OffXor,City,1.236185962928919e-34,False
OffXor,FNV,0.0,False
OffXor,Gperf,0.0,False
OffXor,Gpt,2.1568243139835056e-77,False
OffXor,Naive,0.0030754822117808975,False
OffXor,Pext,5.301756915847468e-19,False
OffXor,STL,9.87719916645482e-56,False
Pext,Abseil,0.0,False
Pext,Aes,2.511679971767498e-61,False
Pext,City,5.03974362180444e-90,False
Pext,FNV,0.0,False
Pext,Gperf,0.0,False
Pext,Gpt,4.8661811580162895e-145,False
Pext,Naive,6.8207396145625955e-31,False
Pext,OffXor,5.301756915847468e-19,False
Pext,STL,1.207434312716752e-121,False
STL,Abseil,0.0,False
STL,Aes,1.7477368647515666e-07,False
STL,City,0.0007761399150412067,False
STL,FNV,5.117858490840066e-240,False
STL,Gperf,0.0,False
STL,Gpt,1.6444149633248749e-06,False
STL,Naive,1.187299080591881e-36,False
STL,OffXor,9.87719916645482e-56,False
STL,Pext,1.207434312716752e-121,False
