Hash Function 1,Hash Function 2,p-value,Same Distribution?
Abseil,Aes,1.1001201174776527e-63,False
Abseil,City,2.4807677046461184e-50,False
Abseil,FNV,7.4436795245586e-21,False
Abseil,Gperf,3.1198279872543055e-191,False
Abseil,Gpt,2.4713536712684107e-07,False
Abseil,Naive,1.9557196956607174e-56,False
Abseil,OffXor,4.57718820349163e-55,False
Abseil,Pext,1.2112197960029518e-50,False
Abseil,STL,1.8076789871926514e-47,False
Aes,Abseil,1.1001201174776527e-63,False
Aes,City,1.777032892405437e-06,False
Aes,FNV,6.834236724347374e-49,False
Aes,Gperf,2.5632664661272427e-192,False
Aes,Gpt,5.647304951633724e-37,False
Aes,Naive,0.17454149450758272,True
Aes,OffXor,0.06503511210402065,True
Aes,Pext,0.012453260359843031,False
Aes,STL,2.348578564189168e-09,False
City,Abseil,2.4807677046461184e-50,False
City,Aes,1.777032892405437e-06,False
City,FNV,4.0295536155699933e-28,False
City,Gperf,2.5634271335671306e-192,False
City,Gpt,1.1549056742230145e-18,False
City,Naive,0.0009508582634718077,False
City,OffXor,0.004597097185973949,False
City,Pext,0.02701862913454238,False
City,STL,0.36998559550679055,True
FNV,Abseil,7.4436795245586e-21,False
FNV,Aes,6.834236724347374e-49,False
FNV,City,4.0295536155699933e-28,False
FNV,Gperf,2.5636639249084997e-192,False
FNV,Gpt,0.6540355132810225,True
FNV,Naive,4.7816136562964134e-40,False
FNV,OffXor,4.6280570158787063e-38,False
FNV,Pext,2.5360375066137804e-34,False
FNV,STL,4.186937692064038e-25,False
Gperf,Abseil,3.1198279872543055e-191,False
Gperf,Aes,2.5632664661272427e-192,False
Gperf,City,2.5634271335671306e-192,False
Gperf,FNV,2.5636639249084997e-192,False
Gperf,Gpt,2.2453360496232867e-142,False
Gperf,Naive,5.627704507778975e-189,False
Gperf,OffXor,5.714473631335526e-189,False
Gperf,Pext,1.1743043378878745e-181,False
Gperf,STL,2.563283378017257e-192,False
Gpt,Abseil,2.4713536712684107e-07,False
Gpt,Aes,5.647304951633724e-37,False
Gpt,City,1.1549056742230145e-18,False
Gpt,FNV,0.6540355132810225,True
Gpt,Gperf,2.2453360496232867e-142,False
Gpt,Naive,4.344049183020876e-30,False
Gpt,OffXor,4.133066495790169e-28,False
Gpt,Pext,7.998295899073468e-25,False
Gpt,STL,6.012738385731019e-16,False
Naive,Abseil,1.9557196956607174e-56,False
Naive,Aes,0.17454149450758272,True
Naive,City,0.0009508582634718077,False
Naive,FNV,4.7816136562964134e-40,False
Naive,Gperf,5.627704507778975e-189,False
Naive,Gpt,4.344049183020876e-30,False
Naive,OffXor,0.6303548614854757,True
Naive,Pext,0.257235450942206,True
Naive,STL,1.0264077914677802e-05,False
OffXor,Abseil,4.57718820349163e-55,False
OffXor,Aes,0.06503511210402065,True
OffXor,City,0.004597097185973949,False
OffXor,FNV,4.6280570158787063e-38,False
OffXor,Gperf,5.714473631335526e-189,False
OffXor,Gpt,4.133066495790169e-28,False
OffXor,Naive,0.6303548614854757,True
OffXor,Pext,0.4805909531107092,True
OffXor,STL,8.105139315784598e-05,False
Pext,Abseil,1.2112197960029518e-50,False
Pext,Aes,0.012453260359843031,False
Pext,City,0.02701862913454238,False
Pext,FNV,2.5360375066137804e-34,False
Pext,Gperf,1.1743043378878745e-181,False
Pext,Gpt,7.998295899073468e-25,False
Pext,Naive,0.257235450942206,True
Pext,OffXor,0.4805909531107092,True
Pext,STL,0.0010407797450075233,False
STL,Abseil,1.8076789871926514e-47,False
STL,Aes,2.348578564189168e-09,False
STL,City,0.36998559550679055,True
STL,FNV,4.186937692064038e-25,False
STL,Gperf,2.563283378017257e-192,False
STL,Gpt,6.012738385731019e-16,False
STL,Naive,1.0264077914677802e-05,False
STL,OffXor,8.105139315784598e-05,False
STL,Pext,0.0010407797450075233,False
