Hash Function,Elapsed Time (seconds),size
AbseilHash,0.000204,1024
AbseilHash,0.000201,1024
AbseilHash,0.000201,1024
AbseilHash,0.000201,1024
AbseilHash,0.000201,1024
AbseilHash,0.000201,1024
AbseilHash,0.000201,1024
AbseilHash,0.000201,1024
AbseilHash,0.000201,1024
AbseilHash,0.000201,1024
STDHashSrc,0.000016,1024
STDHashSrc,0.000021,1024
STDHashSrc,0.000034,1024
STDHashSrc,0.000018,1024
STDHashSrc,0.000018,1024
STDHashSrc,0.000018,1024
STDHashSrc,0.000018,1024
STDHashSrc,0.000018,1024
STDHashSrc,0.000018,1024
STDHashSrc,0.000018,1024
FNVHash,0.000140,1024
FNVHash,0.000140,1024
FNVHash,0.000140,1024
FNVHash,0.000140,1024
FNVHash,0.000140,1024
FNVHash,0.000140,1024
FNVHash,0.000140,1024
FNVHash,0.000141,1024
FNVHash,0.000127,1024
FNVHash,0.000127,1024
CityHash,0.000008,1024
CityHash,0.000008,1024
CityHash,0.000008,1024
CityHash,0.000008,1024
CityHash,0.000008,1024
CityHash,0.000008,1024
CityHash,0.000008,1024
CityHash,0.000008,1024
CityHash,0.000008,1024
CityHash,0.000008,1024
Pext1024INTS,0.000011,1024
Pext1024INTS,0.000008,1024
Pext1024INTS,0.000008,1024
Pext1024INTS,0.000008,1024
Pext1024INTS,0.000008,1024
Pext1024INTS,0.000008,1024
Pext1024INTS,0.000008,1024
Pext1024INTS,0.000008,1024
Pext1024INTS,0.000008,1024
Pext1024INTS,0.000008,1024
