Hash Function,Elapsed Time (seconds)
AbseilHash,0.000002
AbseilHash,0.000002
AbseilHash,0.000002
AbseilHash,0.000002
AbseilHash,0.000002
AbseilHash,0.000002
AbseilHash,0.000002
AbseilHash,0.000002
AbseilHash,0.000002
AbseilHash,0.000002
STDHashSrc,0.000004
STDHashSrc,0.000004
STDHashSrc,0.000004
STDHashSrc,0.000005
STDHashSrc,0.000004
STDHashSrc,0.000004
STDHashSrc,0.000005
STDHashSrc,0.000005
STDHashSrc,0.000005
STDHashSrc,0.000005
FNVHash,0.000005
FNVHash,0.000005
FNVHash,0.000005
FNVHash,0.000005
FNVHash,0.000005
FNVHash,0.000005
FNVHash,0.000005
FNVHash,0.000005
FNVHash,0.000005
FNVHash,0.000005
CityHash,0.000002
CityHash,0.000002
CityHash,0.000002
CityHash,0.000002
CityHash,0.000002
CityHash,0.000002
CityHash,0.000002
CityHash,0.000002
CityHash,0.000002
CityHash,0.000002
PextCPF,0.000001
PextCPF,0.000001
PextCPF,0.000001
PextCPF,0.000001
PextCPF,0.000001
PextCPF,0.000001
PextCPF,0.000001
PextCPF,0.000001
PextCPF,0.000001
PextCPF,0.000001
OffXorCPF,0.000001
OffXorCPF,0.000001
OffXorCPF,0.000001
OffXorCPF,0.000001
OffXorCPF,0.000001
OffXorCPF,0.000001
OffXorCPF,0.000001
OffXorCPF,0.000001
OffXorCPF,0.000001
OffXorCPF,0.000001
NaiveCPF,0.000001
NaiveCPF,0.000001
NaiveCPF,0.000001
NaiveCPF,0.000001
NaiveCPF,0.000001
NaiveCPF,0.000001
NaiveCPF,0.000001
NaiveCPF,0.000001
NaiveCPF,0.000001
NaiveCPF,0.000001
AesCPF,0.000004
AesCPF,0.000003
AesCPF,0.000003
AesCPF,0.000003
AesCPF,0.000003
AesCPF,0.000003
AesCPF,0.000003
AesCPF,0.000003
AesCPF,0.000003
AesCPF,0.000003
GptCPF,0.000003
GptCPF,0.000002
GptCPF,0.000002
GptCPF,0.000002
GptCPF,0.000002
GptCPF,0.000002
GptCPF,0.000002
GptCPF,0.000002
GptCPF,0.000002
GptCPF,0.000002
GperfCPF,0.000001
GperfCPF,0.000001
GperfCPF,0.000001
GperfCPF,0.000001
GperfCPF,0.000001
GperfCPF,0.000001
GperfCPF,0.000001
GperfCPF,0.000001
GperfCPF,0.000001
GperfCPF,0.000001
