Hash Function,Elapsed Time (seconds)
AbseilHash,0.002700
AbseilHash,0.002583
AbseilHash,0.002676
AbseilHash,0.002707
AbseilHash,0.002560
AbseilHash,0.002707
AbseilHash,0.002700
AbseilHash,0.002558
AbseilHash,0.002701
AbseilHash,0.002712
STDHashSrc,0.000167
STDHashSrc,0.000167
STDHashSrc,0.000167
STDHashSrc,0.000168
STDHashSrc,0.000165
STDHashSrc,0.000165
STDHashSrc,0.000164
STDHashSrc,0.000165
STDHashSrc,0.000168
STDHashSrc,0.000168
FNVHash,0.001109
FNVHash,0.001193
FNVHash,0.001074
FNVHash,0.001074
FNVHash,0.001157
FNVHash,0.001139
FNVHash,0.001075
FNVHash,0.001073
FNVHash,0.001204
FNVHash,0.001091
CityHash,0.000159
CityHash,0.000159
CityHash,0.000160
CityHash,0.000159
CityHash,0.000159
CityHash,0.000160
CityHash,0.000159
CityHash,0.000158
CityHash,0.000160
CityHash,0.000159
PextINTS,0.000069
PextINTS,0.000089
PextINTS,0.000090
PextINTS,0.000073
PextINTS,0.000073
PextINTS,0.000073
PextINTS,0.000073
PextINTS,0.000073
PextINTS,0.000073
PextINTS,0.000073
OffXorINTS,0.000062
OffXorINTS,0.000061
OffXorINTS,0.000061
OffXorINTS,0.000061
OffXorINTS,0.000061
OffXorINTS,0.000061
OffXorINTS,0.000061
OffXorINTS,0.000061
OffXorINTS,0.000072
OffXorINTS,0.000058
NaiveINTS,0.000058
NaiveINTS,0.000058
NaiveINTS,0.000058
NaiveINTS,0.000058
NaiveINTS,0.000058
NaiveINTS,0.000058
NaiveINTS,0.000058
NaiveINTS,0.000058
NaiveINTS,0.000058
NaiveINTS,0.000058
AesINTS,0.000054
AesINTS,0.000053
AesINTS,0.000053
AesINTS,0.000053
AesINTS,0.000053
AesINTS,0.000053
AesINTS,0.000053
AesINTS,0.000053
AesINTS,0.000053
AesINTS,0.000053
GptINTS,0.000307
GptINTS,0.000298
GptINTS,0.000298
GptINTS,0.000298
GptINTS,0.000298
GptINTS,0.000339
GptINTS,0.000329
GptINTS,0.000339
GptINTS,0.000357
GptINTS,0.000307
GperfINTS,0.000055
GperfINTS,0.000055
GperfINTS,0.000055
GperfINTS,0.000055
GperfINTS,0.000055
GperfINTS,0.000055
GperfINTS,0.000055
GperfINTS,0.000055
GperfINTS,0.000055
GperfINTS,0.000055
