Hash Function,Elapsed Time (seconds)
AbseilHash,0.001321
AbseilHash,0.001474
AbseilHash,0.001384
AbseilHash,0.001316
AbseilHash,0.001508
AbseilHash,0.001353
AbseilHash,0.001316
AbseilHash,0.001546
AbseilHash,0.001317
AbseilHash,0.001317
STDHashSrc,0.000139
STDHashSrc,0.000126
STDHashSrc,0.000139
STDHashSrc,0.000126
STDHashSrc,0.000145
STDHashSrc,0.000145
STDHashSrc,0.000141
STDHashSrc,0.000141
STDHashSrc,0.000160
STDHashSrc,0.000122
FNVHash,0.000315
FNVHash,0.000316
FNVHash,0.000316
FNVHash,0.000314
FNVHash,0.000316
FNVHash,0.000315
FNVHash,0.000314
FNVHash,0.000314
FNVHash,0.000368
FNVHash,0.000374
CityHash,0.000085
CityHash,0.000085
CityHash,0.000084
CityHash,0.000084
CityHash,0.000084
CityHash,0.000084
CityHash,0.000102
CityHash,0.000071
CityHash,0.000071
CityHash,0.000071
PextIPV6,0.000035
PextIPV6,0.000035
PextIPV6,0.000035
PextIPV6,0.000035
PextIPV6,0.000035
PextIPV6,0.000035
PextIPV6,0.000035
PextIPV6,0.000035
PextIPV6,0.000039
PextIPV6,0.000035
OffXorIPV6,0.000025
OffXorIPV6,0.000024
OffXorIPV6,0.000024
OffXorIPV6,0.000024
OffXorIPV6,0.000024
OffXorIPV6,0.000024
OffXorIPV6,0.000024
OffXorIPV6,0.000024
OffXorIPV6,0.000024
OffXorIPV6,0.000024
NaiveIPV6,0.000024
NaiveIPV6,0.000024
NaiveIPV6,0.000024
NaiveIPV6,0.000024
NaiveIPV6,0.000024
NaiveIPV6,0.000024
NaiveIPV6,0.000024
NaiveIPV6,0.000024
NaiveIPV6,0.000024
NaiveIPV6,0.000024
AesIPV6,0.000022
AesIPV6,0.000022
AesIPV6,0.000022
AesIPV6,0.000022
AesIPV6,0.000022
AesIPV6,0.000022
AesIPV6,0.000022
AesIPV6,0.000022
AesIPV6,0.000022
AesIPV6,0.000022
GptIPV6,0.000081
GptIPV6,0.000081
GptIPV6,0.000081
GptIPV6,0.000080
GptIPV6,0.000080
GptIPV6,0.000080
GptIPV6,0.000080
GptIPV6,0.000080
GptIPV6,0.000081
GptIPV6,0.000080
GperfIPV6,0.000027
GperfIPV6,0.000027
GperfIPV6,0.000026
GperfIPV6,0.000027
GperfIPV6,0.000026
GperfIPV6,0.000026
GperfIPV6,0.000026
GperfIPV6,0.000026
GperfIPV6,0.000026
GperfIPV6,0.000026
