Hash Function,Elapsed Time (seconds)
AbseilHash,0.000050
AbseilHash,0.000048
AbseilHash,0.000048
AbseilHash,0.000048
AbseilHash,0.000048
AbseilHash,0.000048
AbseilHash,0.000048
AbseilHash,0.000048
AbseilHash,0.000048
AbseilHash,0.000048
STDHashSrc,0.000003
STDHashSrc,0.000003
STDHashSrc,0.000003
STDHashSrc,0.000003
STDHashSrc,0.000003
STDHashSrc,0.000003
STDHashSrc,0.000003
STDHashSrc,0.000003
STDHashSrc,0.000003
STDHashSrc,0.000003
FNVHash,0.000006
FNVHash,0.000006
FNVHash,0.000006
FNVHash,0.000006
FNVHash,0.000006
FNVHash,0.000006
FNVHash,0.000006
FNVHash,0.000006
FNVHash,0.000006
FNVHash,0.000006
CityHash,0.000002
CityHash,0.000002
CityHash,0.000002
CityHash,0.000003
CityHash,0.000002
CityHash,0.000003
CityHash,0.000002
CityHash,0.000003
CityHash,0.000002
CityHash,0.000002
PextMac,0.000001
PextMac,0.000001
PextMac,0.000001
PextMac,0.000001
PextMac,0.000001
PextMac,0.000001
PextMac,0.000001
PextMac,0.000001
PextMac,0.000001
PextMac,0.000001
OffXorMac,0.000001
OffXorMac,0.000001
OffXorMac,0.000001
OffXorMac,0.000001
OffXorMac,0.000001
OffXorMac,0.000001
OffXorMac,0.000001
OffXorMac,0.000001
OffXorMac,0.000001
OffXorMac,0.000001
NaiveMac,0.000001
NaiveMac,0.000001
NaiveMac,0.000001
NaiveMac,0.000001
NaiveMac,0.000001
NaiveMac,0.000001
NaiveMac,0.000001
NaiveMac,0.000001
NaiveMac,0.000001
NaiveMac,0.000001
AesMac,0.000001
AesMac,0.000001
AesMac,0.000001
AesMac,0.000001
AesMac,0.000001
AesMac,0.000001
AesMac,0.000001
AesMac,0.000001
AesMac,0.000001
AesMac,0.000001
GptMac,0.000006
GptMac,0.000005
GptMac,0.000006
GptMac,0.000005
GptMac,0.000005
GptMac,0.000005
GptMac,0.000005
GptMac,0.000005
GptMac,0.000005
GptMac,0.000005
GperfMac,0.000001
GperfMac,0.000001
GperfMac,0.000001
GperfMac,0.000001
GperfMac,0.000001
GperfMac,0.000001
GperfMac,0.000001
GperfMac,0.000001
GperfMac,0.000001
GperfMac,0.000001
