Hash Function,Elapsed Time (seconds)
AbseilHash,0.000112
AbseilHash,0.000110
AbseilHash,0.000110
AbseilHash,0.000110
AbseilHash,0.000110
AbseilHash,0.000110
AbseilHash,0.000110
AbseilHash,0.000117
AbseilHash,0.000145
AbseilHash,0.000131
STDHashSrc,0.000009
STDHashSrc,0.000008
STDHashSrc,0.000008
STDHashSrc,0.000009
STDHashSrc,0.000008
STDHashSrc,0.000008
STDHashSrc,0.000008
STDHashSrc,0.000008
STDHashSrc,0.000008
STDHashSrc,0.000008
FNVHash,0.000051
FNVHash,0.000051
FNVHash,0.000051
FNVHash,0.000051
FNVHash,0.000049
FNVHash,0.000049
FNVHash,0.000050
FNVHash,0.000049
FNVHash,0.000049
FNVHash,0.000049
CityHash,0.000010
CityHash,0.000009
CityHash,0.000010
CityHash,0.000009
CityHash,0.000009
CityHash,0.000010
CityHash,0.000009
CityHash,0.000009
CityHash,0.000009
CityHash,0.000009
PextUrlComplex,0.000002
PextUrlComplex,0.000002
PextUrlComplex,0.000002
PextUrlComplex,0.000002
PextUrlComplex,0.000002
PextUrlComplex,0.000002
PextUrlComplex,0.000002
PextUrlComplex,0.000002
PextUrlComplex,0.000002
PextUrlComplex,0.000002
OffXorUrlComplex,0.000002
OffXorUrlComplex,0.000002
OffXorUrlComplex,0.000002
OffXorUrlComplex,0.000002
OffXorUrlComplex,0.000002
OffXorUrlComplex,0.000002
OffXorUrlComplex,0.000002
OffXorUrlComplex,0.000002
OffXorUrlComplex,0.000002
OffXorUrlComplex,0.000002
NaiveUrlComplex,0.000003
NaiveUrlComplex,0.000003
NaiveUrlComplex,0.000003
NaiveUrlComplex,0.000003
NaiveUrlComplex,0.000003
NaiveUrlComplex,0.000003
NaiveUrlComplex,0.000002
NaiveUrlComplex,0.000003
NaiveUrlComplex,0.000003
NaiveUrlComplex,0.000002
AesUrlComplex,0.000002
AesUrlComplex,0.000002
AesUrlComplex,0.000002
AesUrlComplex,0.000002
AesUrlComplex,0.000002
AesUrlComplex,0.000002
AesUrlComplex,0.000002
AesUrlComplex,0.000002
AesUrlComplex,0.000002
AesUrlComplex,0.000002
GptUrlComplex,0.000004
GptUrlComplex,0.000004
GptUrlComplex,0.000004
GptUrlComplex,0.000004
GptUrlComplex,0.000004
GptUrlComplex,0.000004
GptUrlComplex,0.000004
GptUrlComplex,0.000004
GptUrlComplex,0.000004
GptUrlComplex,0.000004
GperfUrlComplex,0.000002
GperfUrlComplex,0.000002
GperfUrlComplex,0.000002
GperfUrlComplex,0.000002
GperfUrlComplex,0.000002
GperfUrlComplex,0.000002
GperfUrlComplex,0.000002
GperfUrlComplex,0.000002
GperfUrlComplex,0.000002
GperfUrlComplex,0.000002
