Execution Mode,Key Distribution,Num Operations,Num Keys,Insertions (%),Searches (%),Eliminatons(%),Hash Container,Hash Function,Execution Time (s),Collision Count
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,AbseilHash,0.002098,24
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,AbseilHash,0.002356,222
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,AbseilHash,0.002198,24
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,AbseilHash,0.002251,222
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,STDHashSrc,0.002322,28
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,STDHashSrc,0.002272,218
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,STDHashSrc,0.002337,28
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,STDHashSrc,0.002352,218
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,FNVHash,0.002189,24
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,FNVHash,0.002465,219
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,FNVHash,0.002122,24
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,FNVHash,0.002442,219
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,CityHash,0.002049,25
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,CityHash,0.002399,216
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,CityHash,0.002107,25
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,CityHash,0.002284,216
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,PextCPF,0.002109,30
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,PextCPF,0.002242,217
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,PextCPF,0.002138,30
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,PextCPF,0.002175,217
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,OffXorCPF,0.002186,29
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,OffXorCPF,0.002194,216
Interweaved,normal,10000,10000,40,30,30,UnorderedSetBench,OffXorCPF,0.002181,29
Interweaved,normal,10000,10000,40,30,30,UnorderedMultisetBench,OffXorCPF,0.002223,216
Interweaved,normal,10000,10000,40,30,30,UnorderedMapBench,NaiveCPF,0.002131,29
Interweaved,normal,10000,10000,40,30,30,UnorderedMultiMapBench,NaiveCPF,0.002283,216
