Execution Mode,Key Distribution,Num Operations,Num Keys,Insertions (%),Searches (%),Eliminatons(%),Hash Container,Hash Function,Execution Time (s),Collision Count
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,AbseilHash,0.004963,16
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,AbseilHash,0.005906,189
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,AbseilHash,0.004937,16
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,AbseilHash,0.005524,189
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,STDHashSrc,0.002508,13
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,STDHashSrc,0.003137,189
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,STDHashSrc,0.002283,13
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,STDHashSrc,0.003142,189
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,FNVHash,0.003516,15
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,FNVHash,0.004125,191
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,FNVHash,0.003509,15
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,FNVHash,0.004083,191
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,CityHash,0.002433,13
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,CityHash,0.003030,190
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,CityHash,0.002555,13
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,CityHash,0.003143,190
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,PextINTS,0.002164,15
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,PextINTS,0.002936,189
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,PextINTS,0.002249,15
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,PextINTS,0.002834,189
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,OffXorINTS,0.002246,12
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,OffXorINTS,0.002845,190
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,OffXorINTS,0.002151,12
Interweaved,normal,10000,500,60,20,20,UnorderedMultisetBench,OffXorINTS,0.002906,190
Interweaved,normal,10000,500,60,20,20,UnorderedMapBench,NaiveINTS,0.002096,12
Interweaved,normal,10000,500,60,20,20,UnorderedMultiMapBench,NaiveINTS,0.002870,190
Interweaved,normal,10000,500,60,20,20,UnorderedSetBench,NaiveINTS,0.002177,12
