Execution Mode,Key Distribution,Num Operations,Num Keys,Insertions (%),Searches (%),Eliminatons(%),Hash Container,Hash Function,Execution Time (s),Collision Count
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,AbseilHash,0.003543,43
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,AbseilHash,0.004099,614
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,AbseilHash,0.003571,43
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,AbseilHash,0.004024,614
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,STDHashSrc,0.002222,43
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,STDHashSrc,0.002730,609
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,STDHashSrc,0.002386,43
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,STDHashSrc,0.002634,609
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,FNVHash,0.002618,49
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,FNVHash,0.002989,609
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,FNVHash,0.002504,49
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,FNVHash,0.002929,609
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,CityHash,0.002266,43
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,CityHash,0.002607,610
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,CityHash,0.002222,43
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,CityHash,0.002611,610
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,PextIPV6,0.002040,50
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,PextIPV6,0.002570,608
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,PextIPV6,0.002035,50
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,PextIPV6,0.002561,608
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,OffXorIPV6,0.002044,52
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,OffXorIPV6,0.002470,612
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,OffXorIPV6,0.002031,52
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,OffXorIPV6,0.002483,612
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,NaiveIPV6,0.002048,49
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,NaiveIPV6,0.002483,613
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,NaiveIPV6,0.002032,49
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,NaiveIPV6,0.002469,613
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,AesIPV6,0.002055,50
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,AesIPV6,0.002586,612
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,AesIPV6,0.002048,50
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,AesIPV6,0.002472,612
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,GptIPV6,0.002125,32
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,GptIPV6,0.002553,610
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,GptIPV6,0.002123,32
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,GptIPV6,0.002574,610
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,GperfIPV6,0.002061,55
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,GperfIPV6,0.002479,613
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,GperfIPV6,0.002046,55
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,GperfIPV6,0.002478,613
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,AbseilHash,0.003316,43
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,AbseilHash,0.003688,614
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,AbseilHash,0.003295,43
