Execution Mode,Key Distribution,Num Operations,Num Keys,Insertions (%),Searches (%),Eliminatons(%),Hash Container,Hash Function,Execution Time (s),Collision Count
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,AbseilHash,0.003197,17
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,AbseilHash,0.003634,100
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,AbseilHash,0.003277,17
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,AbseilHash,0.003570,100
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,STDHashSrc,0.002223,14
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,STDHashSrc,0.002597,100
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,STDHashSrc,0.002367,14
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,STDHashSrc,0.002438,100
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,FNVHash,0.002474,16
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,FNVHash,0.002674,101
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,FNVHash,0.002315,16
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,FNVHash,0.002737,101
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,CityHash,0.002159,11
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,CityHash,0.002596,102
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,CityHash,0.002291,11
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,CityHash,0.002441,102
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,PextMac,0.002313,15
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,PextMac,0.002409,102
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,PextMac,0.002253,15
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,PextMac,0.002540,102
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,OffXorMac,0.002120,19
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,OffXorMac,0.002593,98
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,OffXorMac,0.002077,19
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,OffXorMac,0.002488,98
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,NaiveMac,0.002137,9
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,NaiveMac,0.002440,99
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,NaiveMac,0.002195,9
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,NaiveMac,0.002363,99
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,AesMac,0.002232,14
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,AesMac,0.002385,101
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,AesMac,0.002181,14
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,AesMac,0.002418,101
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,GptMac,0.002252,16
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,GptMac,0.002642,103
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,GptMac,0.002203,16
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,GptMac,0.002588,103
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,GperfMac,0.002195,14
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,GperfMac,0.002458,98
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,GperfMac,0.002192,14
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,GperfMac,0.002374,98
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,AbseilHash,0.003191,17
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,AbseilHash,0.003386,100
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,AbseilHash,0.003017,17
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,AbseilHash,0.003263,100
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,STDHashSrc,0.002100,14
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,STDHashSrc,0.002342,100
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,STDHashSrc,0.002085,14
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,STDHashSrc,0.002341,100
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,FNVHash,0.002195,16
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,FNVHash,0.002441,101
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,FNVHash,0.002203,16
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,FNVHash,0.002418,101
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,CityHash,0.002081,11
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,CityHash,0.002322,102
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,CityHash,0.002049,11
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,CityHash,0.002307,102
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,PextMac,0.002041,15
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,PextMac,0.002273,102
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,PextMac,0.002034,15
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,PextMac,0.002266,102
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,OffXorMac,0.002026,19
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,OffXorMac,0.002265,98
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,OffXorMac,0.002036,19
Interweaved,normal,10000,2000,40,30,30,UnorderedMultisetBench,OffXorMac,0.002246,98
Interweaved,normal,10000,2000,40,30,30,UnorderedMapBench,NaiveMac,0.002019,9
Interweaved,normal,10000,2000,40,30,30,UnorderedMultiMapBench,NaiveMac,0.002270,99
Interweaved,normal,10000,2000,40,30,30,UnorderedSetBench,NaiveMac,0.002014,9
