Execution Mode,Key Distribution,Num Operations,Num Keys,Insertions (%),Searches (%),Eliminatons(%),Hash Container,Hash Function,Execution Time (s),Collision Count
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,AbseilHash,0.002035,55
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,AbseilHash,0.002396,1340
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,AbseilHash,0.002143,55
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,AbseilHash,0.002280,1340
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,STDHashSrc,0.002198,59
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,STDHashSrc,0.002411,1342
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,STDHashSrc,0.002110,59
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,STDHashSrc,0.002517,1342
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,FNVHash,0.002031,57
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,FNVHash,0.002596,1344
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,FNVHash,0.002010,57
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,FNVHash,0.002570,1344
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,CityHash,0.002059,57
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,CityHash,0.002440,1341
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,CityHash,0.002166,57
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,CityHash,0.002292,1341
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,PextSSN,0.002142,53
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,PextSSN,0.002316,1342
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,PextSSN,0.002095,53
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,PextSSN,0.002358,1342
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,OffXorSSN,0.002079,53
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,OffXorSSN,0.002501,1339
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,OffXorSSN,0.001964,53
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,OffXorSSN,0.002464,1339
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,NaiveSSN,0.001981,53
Interweaved,normal,10000,10000,70,20,10,UnorderedMultiMapBench,NaiveSSN,0.002501,1339
Interweaved,normal,10000,10000,70,20,10,UnorderedSetBench,NaiveSSN,0.002050,53
Interweaved,normal,10000,10000,70,20,10,UnorderedMultisetBench,NaiveSSN,0.002370,1339
Interweaved,normal,10000,10000,70,20,10,UnorderedMapBench,AesSSN,0.002162,62
