Execution Mode,Key Distribution,Num Operations,Num Keys,Insertions (%),Searches (%),Eliminatons(%),Hash Container,Hash Function,Execution Time (s),Collision Count
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,AbseilHash,0.004207,48
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,AbseilHash,0.004771,608
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,AbseilHash,0.004154,48
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,AbseilHash,0.004691,608
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,STDHashSrc,0.002292,48
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,STDHashSrc,0.002827,613
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,STDHashSrc,0.002268,48
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,STDHashSrc,0.002795,613
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,FNVHash,0.003034,39
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,FNVHash,0.003447,614
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,FNVHash,0.002973,39
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,FNVHash,0.003378,614
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,CityHash,0.002406,47
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,CityHash,0.002856,611
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,CityHash,0.002290,47
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,CityHash,0.002865,611
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,PextUrl,0.002194,49
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,PextUrl,0.002607,612
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,PextUrl,0.002226,49
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,PextUrl,0.002582,612
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,OffXorUrl,0.002198,46
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,OffXorUrl,0.002616,609
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,OffXorUrl,0.002073,46
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,OffXorUrl,0.002695,609
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,NaiveUrl,0.002119,44
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,NaiveUrl,0.002557,614
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,NaiveUrl,0.002099,44
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,NaiveUrl,0.002553,614
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,AesUrl,0.002129,47
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,AesUrl,0.002556,611
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,AesUrl,0.002084,47
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,AesUrl,0.002542,611
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,GptUrl,0.002308,46
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,GptUrl,0.002875,617
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,GptUrl,0.002296,46
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,GptUrl,0.002778,617
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,GperfUrl,0.002104,46
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,GperfUrl,0.002646,616
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,GperfUrl,0.002098,46
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,GperfUrl,0.002578,616
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,AbseilHash,0.003983,48
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,AbseilHash,0.004362,608
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,AbseilHash,0.003948,48
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,AbseilHash,0.004334,608
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,STDHashSrc,0.002169,48
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,STDHashSrc,0.002569,613
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,STDHashSrc,0.002161,48
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,STDHashSrc,0.002548,613
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,FNVHash,0.002826,39
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,FNVHash,0.003171,614
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,FNVHash,0.002833,39
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,FNVHash,0.003154,614
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,CityHash,0.002212,47
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,CityHash,0.002582,611
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,CityHash,0.002211,47
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,CityHash,0.002582,611
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,PextUrl,0.002038,49
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,PextUrl,0.002415,612
Interweaved,normal,10000,10000,60,20,20,UnorderedSetBench,PextUrl,0.002021,49
Interweaved,normal,10000,10000,60,20,20,UnorderedMultisetBench,PextUrl,0.002388,612
Interweaved,normal,10000,10000,60,20,20,UnorderedMapBench,OffXorUrl,0.002014,46
Interweaved,normal,10000,10000,60,20,20,UnorderedMultiMapBench,OffXorUrl,0.002387,609
