Hash Function 1,Hash Function 2,p-value,Same Distribution?
Abseil,Aes,0.9347361606810273,True
Abseil,City,0.9504901049699566,True
Abseil,FNV,0.9767905398942108,True
Abseil,Gperf,0.14416104236879357,True
Abseil,Gpt,0.8552606665243399,True
Abseil,Naive,0.34299529889330294,True
Abseil,OffXor,0.28972629752484524,True
Abseil,Pext,0.7333924738739013,True
Abseil,STL,0.8807917937916968,True
Aes,Abseil,0.9347361606810273,True
Aes,City,0.884629160003847,True
Aes,FNV,0.9419187154933979,True
Aes,Gperf,0.17194217776831633,True
Aes,Gpt,0.9199815857650028,True
Aes,Naive,0.3930424877627796,True
Aes,OffXor,0.3317262731358368,True
Aes,Pext,0.8236411032453472,True
Aes,STL,0.9532616608297781,True
City,Abseil,0.9504901049699566,True
City,Aes,0.884629160003847,True
City,FNV,0.9460641376355197,True
City,Gperf,0.13210003841303503,True
City,Gpt,0.7986814390134084,True
City,Naive,0.31513488909174825,True
City,OffXor,0.2598411012184678,True
City,Pext,0.6950504369864813,True
City,STL,0.8328141155515811,True
FNV,Abseil,0.9767905398942108,True
FNV,Aes,0.9419187154933979,True
FNV,City,0.9460641376355197,True
FNV,Gperf,0.15613373236666306,True
FNV,Gpt,0.8560841187724529,True
FNV,Naive,0.3522609473596038,True
FNV,OffXor,0.29722012514856555,True
FNV,Pext,0.7472923166872741,True
FNV,STL,0.9022058552289125,True
Gperf,Abseil,0.14416104236879357,True
Gperf,Aes,0.17194217776831633,True
Gperf,City,0.13210003841303503,True
Gperf,FNV,0.15613373236666306,True
Gperf,Gpt,0.21081528584400988,True
Gperf,Naive,0.600012652901629,True
Gperf,OffXor,0.6753642764197894,True
Gperf,Pext,0.24739915324234285,True
Gperf,STL,0.1956564221314545,True
Gpt,Abseil,0.8552606665243399,True
Gpt,Aes,0.9199815857650028,True
Gpt,City,0.7986814390134084,True
Gpt,FNV,0.8560841187724529,True
Gpt,Gperf,0.21081528584400988,True
Gpt,Naive,0.43569595913416037,True
Gpt,OffXor,0.3713828445398344,True
Gpt,Pext,0.908442769803807,True
Gpt,STL,0.9645212662315318,True
Naive,Abseil,0.34299529889330294,True
Naive,Aes,0.3930424877627796,True
Naive,City,0.31513488909174825,True
Naive,FNV,0.3522609473596038,True
Naive,Gperf,0.600012652901629,True
Naive,Gpt,0.43569595913416037,True
Naive,OffXor,0.9124338290954538,True
Naive,Pext,0.4964323952068911,True
Naive,STL,0.41197505196117934,True
OffXor,Abseil,0.28972629752484524,True
OffXor,Aes,0.3317262731358368,True
OffXor,City,0.2598411012184678,True
OffXor,FNV,0.29722012514856555,True
OffXor,Gperf,0.6753642764197894,True
OffXor,Gpt,0.3713828445398344,True
OffXor,Naive,0.9124338290954538,True
OffXor,Pext,0.43532612927111203,True
OffXor,STL,0.3478046080071411,True
Pext,Abseil,0.7333924738739013,True
Pext,Aes,0.8236411032453472,True
Pext,City,0.6950504369864813,True
Pext,FNV,0.7472923166872741,True
Pext,Gperf,0.24739915324234285,True
Pext,Gpt,0.908442769803807,True
Pext,Naive,0.4964323952068911,True
Pext,OffXor,0.43532612927111203,True
Pext,STL,0.8600347010464211,True
STL,Abseil,0.8807917937916968,True
STL,Aes,0.9532616608297781,True
STL,City,0.8328141155515811,True
STL,FNV,0.9022058552289125,True
STL,Gperf,0.1956564221314545,True
STL,Gpt,0.9645212662315318,True
STL,Naive,0.41197505196117934,True
STL,OffXor,0.3478046080071411,True
STL,Pext,0.8600347010464211,True
