Hash Function 1,Hash Function 2,p-value,Same Distribution?
Abseil,Aes,1.194234037206251e-66,False
Abseil,City,9.219491508549776e-53,False
Abseil,FNV,2.604348924711942e-21,False
Abseil,Gperf,5.641703113907727e-31,False
Abseil,Gpt,3.546836380204925e-50,False
Abseil,Naive,8.130100869544239e-66,False
Abseil,OffXor,8.094967519599518e-65,False
Abseil,Pext,2.175565449234865e-66,False
Abseil,STL,8.929544684117656e-49,False
Aes,Abseil,1.194234037206251e-66,False
Aes,City,1.1179377815611482e-06,False
Aes,FNV,6.1354537223200945e-52,False
Aes,Gperf,0.0020456107649801424,False
Aes,Gpt,8.541689140538365e-09,False
Aes,Naive,0.7126372092786919,True
Aes,OffXor,0.5507558399322354,True
Aes,Pext,0.8746922195430906,True
Aes,STL,1.7763671325705555e-10,False
City,Abseil,9.219491508549776e-53,False
City,Aes,1.1179377815611482e-06,False
City,FNV,1.8585734759808325e-30,False
City,Gperf,0.44968599832484346,True
City,Gpt,0.5174077388087184,True
City,Naive,1.3734609072217704e-05,False
City,OffXor,3.180082590095676e-05,False
City,Pext,4.754682463736277e-06,False
City,STL,0.19510864259998162,True
FNV,Abseil,2.604348924711942e-21,False
FNV,Aes,6.1354537223200945e-52,False
FNV,City,1.8585734759808325e-30,False
FNV,Gperf,1.3775281889006286e-21,False
FNV,Gpt,1.0958178854757932e-28,False
FNV,Naive,5.9503125912529704e-49,False
FNV,OffXor,2.4846516849939355e-48,False
FNV,Pext,3.7208794656015854e-49,False
FNV,STL,4.1139133733195124e-26,False
Gperf,Abseil,5.641703113907727e-31,False
Gperf,Aes,0.0020456107649801424,False
Gperf,City,0.44968599832484346,True
Gperf,FNV,1.3775281889006286e-21,False
Gperf,Gpt,0.10974422256824257,True
Gperf,Naive,0.0048713125232288735,False
Gperf,OffXor,0.006371174315591933,False
Gperf,Pext,0.0026634781642464046,False
Gperf,STL,0.04806034770330195,False
Gpt,Abseil,3.546836380204925e-50,False
Gpt,Aes,8.541689140538365e-09,False
Gpt,City,0.5174077388087184,True
Gpt,FNV,1.0958178854757932e-28,False
Gpt,Gperf,0.10974422256824257,True
Gpt,Naive,2.024323403446764e-07,False
Gpt,OffXor,4.98288262332715e-07,False
Gpt,Pext,7.74775384933986e-08,False
Gpt,STL,0.48418779571695203,True
Naive,Abseil,8.130100869544239e-66,False
Naive,Aes,0.7126372092786919,True
Naive,City,1.3734609072217704e-05,False
Naive,FNV,5.9503125912529704e-49,False
Naive,Gperf,0.0048713125232288735,False
Naive,Gpt,2.024323403446764e-07,False
Naive,OffXor,0.8295338241165453,True
Naive,Pext,0.8264243458394943,True
Naive,STL,6.4592323686231705e-09,False
OffXor,Abseil,8.094967519599518e-65,False
OffXor,Aes,0.5507558399322354,True
OffXor,City,3.180082590095676e-05,False
OffXor,FNV,2.4846516849939355e-48,False
OffXor,Gperf,0.006371174315591933,False
OffXor,Gpt,4.98288262332715e-07,False
OffXor,Naive,0.8295338241165453,True
OffXor,Pext,0.6702331285403318,True
OffXor,STL,1.916361055421864e-08,False
Pext,Abseil,2.175565449234865e-66,False
Pext,Aes,0.8746922195430906,True
Pext,City,4.754682463736277e-06,False
Pext,FNV,3.7208794656015854e-49,False
Pext,Gperf,0.0026634781642464046,False
Pext,Gpt,7.74775384933986e-08,False
Pext,Naive,0.8264243458394943,True
Pext,OffXor,0.6702331285403318,True
Pext,STL,2.0590172425621716e-09,False
STL,Abseil,8.929544684117656e-49,False
STL,Aes,1.7763671325705555e-10,False
STL,City,0.19510864259998162,True
STL,FNV,4.1139133733195124e-26,False
STL,Gperf,0.04806034770330195,False
STL,Gpt,0.48418779571695203,True
STL,Naive,6.4592323686231705e-09,False
STL,OffXor,1.916361055421864e-08,False
STL,Pext,2.0590172425621716e-09,False
